PubOrPriv,approx_cp_,operator_o,DocsURL,wwtp_name,permit,county,uic_num,tmk,type,owner_type,class,atu_date,lat_dd,long_dd,shape_1,act217incl,act217note,gpd_capaci,gpd_usage,customer_c,info,ImageURL,excess_gpd
Public,0,C&C Honolulu,https://go.hawaii.edu/8Qm,Sand Island WWTP/Synagro,323,C&C Honolulu, ,115041005,Biosolids,Public,4,NULL,21.305842999999999,-157.882202000000007, ,y, ,90000000,67000000,0,https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Sand_Island.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/e8ecd33538124a8f913f53b50c55346d/data,24000000
Public,0,C&C Honolulu,https://go.hawaii.edu/PWm,Wahiawa Wastewater Treatment Plant,324,C&C Honolulu, ,173007002,Reuse R2,Public,4,NULL,21.491481000000000,-158.039292999999986, ,y, ,2300000,1300000,0,https://www.honolulu.gov/env/wtd/wahiawa-wastewater-treatment-plant/ https://www.honolulu.gov/env/wp-content/uploads/sites/29/2023/10/Wahiawa.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/a08f50c35914455ebebe81ed1b6d2e1e/data,1000000
Public,0,C&C Honolulu,https://go.hawaii.edu/mQm,Waianae WWTP,325,C&C Honolulu, ,186001044,WWTP,Public,4,NULL,21.433924999999999,-158.183071000000012, ,y, ,5200000,3300000,0,https://files.hawaii.gov/dbedt/erp/EA_EIS_Library/2016-09-23-OA-DEA-Waianae-Wastewater-Plant.pdf,https://uhm.maps.arcgis.com/sharing/rest/content/items/503b9902241a48168796121ace7f2a70/data,1700000
Public,0,C&C Honolulu,https://go.hawaii.edu/mQD,Waimanalo Wastewater Treatment Plant,326,C&C Honolulu,UO-1259,141009270,WWTP,Public,4,NULL,21.338842000000000,-157.705461000000014, ,y, ,1100000,590000,0,https://www.civilbeat.org/2012/04/city-takes-over-waimanalo-sewage-plant-from-state/,https://uhm.maps.arcgis.com/sharing/rest/content/items/b44cc3a42bc9494b9e6e70d7f9dcca08/data,550000
Private,0,Aqua Engineers,https://go.hawaii.edu/iQm,Schofield WWTP,328,C&C Honolulu, ,177001001,Reuse R1,Public,4,2/2/2007,21.476189999999999,-158.044138000000004, ,y, ,4200000,2300000,0,https://www.ge.com/news/press-releases/aqua-engineers-us-army-partnership-conserves-recycles-water-irrigation-saves-over, ,1900000
Private,489,Unknown,https://go.hawaii.edu/mQR,Hyatt Regency Kauai - Grand Hyatt,409,Kauai,UK-1515,429001009,Reuse R2,Private,2,9/17/1990,21.881080999999998,-159.437252999999998, ,y, ,1000000,360000,440, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/2eee91c9045348aaa133271aec51e433/data,640000
Private,489,Hawai'i Water Service Co,https://go.hawaii.edu/SQm,Poipu Wastewater Reclamation Facility - 1 mgd,428,Kauai,UK-2388,428014000,Reuse R1,Private,4,9/23/2010,21.880001000000000,-159.462942999999996, ,y, ,1000000,600000,0,https://uhm.maps.arcgis.com/sharing/rest/content/items/61091fa178874adf9a113388c31944e0/data,https://uhm.maps.arcgis.com/sharing/rest/content/items/0b322fafef6e4ec486c73a899cef5049/data,400000
Public,0,County of Kauai,https://go.hawaii.edu/mQK,Princeville Resort,431,Kauai, ,454011001,Reuse R2,Private,3,NULL,22.217504999999999,-159.492630999999989, ,y, ,600000,880000,1157, ,Image Not Available,0
Private,698,Aqua Engineers,https://go.hawaii.edu/gQm,Lihue-Puhi Wastewater Facility,439,Kauai, ,433003035,Reuse R1,Private,3,6/4/1993,21.958206000000001,-159.372102000000012, ,y, ,2500000,1250000,1432, ,Image Not Available,1250000
Private,0,Hawai'i American Water Co,https://go.hawaii.edu/HQm,Kalahuipua'a Lagoons Treatment Facility fka: Mauna Lani WWTP,531,Hawaii,UH-2546,368001049,WWTP,Private,2,12/15/1982,19.948015000000002,-155.839004999999986, ,y, ,500000,350000,31, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/bc696b15e615482bb084e5069966364d/data,150000
Private,0,Punalu'u Water and Sanitation,https://go.hawaii.edu/mQt,Punaluu Water and Sanitation Corporations,535,Hawaii, ,395019011,WWTP,Private,2,NULL,19.133182000000001,-155.515623000000005, ,y, ,20000,8000,100, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/e4e6ee9f1e3a434ab42ffbaeb44bfc2d/data,12000
Private,0,Hawai'i Water Service Co,https://go.hawaii.edu/mYG,Waikoloa Resort WRF,540,Hawaii,UH-2294,368001028,Reuse R1,Private,3,9/25/2012,19.909917000000000,-155.874905000000012, ,y, ,1000000,500000,194, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/0aca38f2161f4e168d0474977c8b6a32/data,500000
Private,1542,Hawai'i Water Service Co,https://go.hawaii.edu/mQY,Waikoloa Village Wastewater Treatment Plant (A-Plant),541,Hawaii, ,368002019,WWTP,Private,2,11/30/2009,19.934094000000002,-155.805228000000000, ,y, ,533000,200000,2065, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/e5951cd76a9e43ad99ab36959a6d588b/data,600000
Private,0,Hawai'i Water Service Co, ,Kamakoa Water Reclamation Plant (K-Plant),549,Hawaii, ,368002019,WWTP,Private,1,6/21/2013,19.960795000000001,-155.802650999999997, ,y,Information provided by HWSC,400000,100000,0, , ,300000
 ,0, , ,Honokaa Wastewater Treatment Plant Upgrade - Ph. I,550a,Hawaii,UH-2002,345002060,WWTP,Public,2,7/11/2012,0.000000000000000,0.000000000000000, ,y, ,200000,0,184, , ,0
Private,0,Unknown,https://go.hawaii.edu/WQm,South Kohala WWRF,551,Hawaii, ,362013006,Reuse R1,Private,3,3/16/1995,19.998760999999998,-155.811915999999997, ,y, ,500000,500000,187, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/65a1c180ac144e0f9bab36e36e23b19a/data,0
Private,1771,Hawai'i American Water Co,https://go.hawaii.edu/mQC,"Waimea Wastewater Company, Inc. fka Parker Ranch",555,Hawaii, ,368001001,Reuse R3,Private,2,5/22/1997,19.983720000000002,-155.683532000000014, ,y, ,100000,65000,228, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/dbf1796c44f3497f9fae1679007fdab6/data,35000
Private,0,Aqua Engineers,https://go.hawaii.edu/JCm,Hualalai Four Seasons (Kaupulehu) Interim WWTP,556,Hawaii,UH-1927,372013012,WWTP,Private,2,8/6/1996,19.825084000000000,-155.982458000000008, ,y, ,60000,25000,285, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/047faa8327604f1eb06657facb8e95fb/data,35000
Private,2200,Hawai'i Water Service Co, ,Heeia (Keauhou-Kona Resort),563,Hawaii, ,378010037,Reuse R2,Private,3,4/27/1990,19.567931000000002,-155.966797000000014, ,y, ,1800000,400000,1500,https://www.hawaiiwaterservice.com/latest_news/2022-1219-acquisition-of-keauhou-wastewater-system-complete/, ,1200000
Private,1616,Hawai'i Water Service Co,https://go.hawaii.edu/mQe,"North Kona Coast WWTF aka :""Kukio WWTF""",565,Hawaii, ,372004016,WWTP,Private,2,10/9/2002,19.807555000000001,-155.987415999999996, ,y, ,100000,50000,225, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/76e5081fbe1c40d9ab8433ea867ee1fd/data,1530000
Private,0,MOSCO,https://go.hawaii.edu/dQm,Kaluakoi Wastewater Treatment Facility,603,Maui, ,251003008,WWTP,Private,2,4/12/1977,21.183461000000001,-157.247394000000014, ,y, ,160000,0,0, , ,0
Public,0,County of Maui,https://go.hawaii.edu/6Cm,Kualapuu Sewerage System,605,Maui, ,252011026,WWTP,Private,1,NULL,21.126073999999999,-157.062974999999994, ,y, ,0,0,200, , ,0
Private,0,MOSCO,https://go.hawaii.edu/mQ6,Maunaloa Stabilization Ponds,606,Maui, ,251002024,WWTP,Private,1,NULL,21.136652000000002,-157.215829000000014, ,y, ,160000,0,351, ,https://uhm.maps.arcgis.com/sharing/rest/content/items/d6d9fbac73264c3da985545a2da4c802/data,160000
Private,0,Pūlama Lāna‘i,https://go.hawaii.edu/9Qm,Manele Bay WWTP,701,Maui, ,249017002,Reuse R1,Private,3,3/13/1991,20.749036000000000,-156.897003000000012, ,y, ,140000,60000,79, ,Image Not Available,80000
Public,0,County of Maui, ,Lanai Auxiliary WWRF,702,Maui, ,249002001,Reuse R1,Public,2,NULL,20.815894000000000,-156.925765000000013, ,y, ,60000,25000,0, , ,35000
