wwtp_name,permit,Docs,Notes,ImageURL,Verificati,Shape_Leng,Shape_Area,AddNote,PubOrPriv,Acres
 ,000, , , , ,85.522248767500002,274.578141580000022, ,Private,67.674072371999998
 ,000, , , , ,2621.649595750000117,388401.728355000028387, , ,85.284053468300002
 ,101, , , , ,3362.168729429999985,329200.647965000011027, , ,70.666973815600002
ATC Makena Waste Water Reclamation,116,https://drive.google.com/drive/folders/18mbYSjWY0FWPMdheCTPpO3uOLx1QoTuz?usp=drive_link,"Original polygon from County was smaller and named ""Makena Resort - 720,000 gpd"". This polygon is from ATC Makena disaster mitigation filing with PUC. ""New Service Area"" is also part of their map but a separate polygon as we are unsure of status.",https://uhm.maps.arcgis.com/sharing/rest/content/items/9417c12672dd468aa8fe4bcfb728e1b8/data, ,15041.882132500000807,3574089.582419999875128, ,Private,769.477925085000038
ATC Makena Waste Water Reclamation,116,https://drive.google.com/drive/folders/18mbYSjWY0FWPMdheCTPpO3uOLx1QoTuz?usp=drive_link,"This polygon is from ATC Makena disaster mitigation filing with PUC. ""New Service Area"" may only be proposed and may not reflect current WW system extent.",https://uhm.maps.arcgis.com/sharing/rest/content/items/9417c12672dd468aa8fe4bcfb728e1b8/data, ,9806.421769480000876,3249254.366469999775290, ,Private,699.495264140000018
"Pukalani WWTP - 400,000 gpd",118,https://drive.google.com/drive/folders/1FGRHByYfJfOOvMONkG6vgWoHVoaPzjAs?usp=drive_link,HWSC shapefile is general but mostly matches PUC filing for disaster mitigation. OSDS in this area may be mistakes.,https://uhm.maps.arcgis.com/sharing/rest/content/items/6ee88a4ae9c242de8e1e61f2a466cd33/data, ,16411.509567000000970,3580931.010629999917001, ,Private,727.018549776999976
"- REMOVE Kapalua Waste Treatment Company, Ltd.",125,https://drive.google.com/drive/folders/1cd_dByAdE2IVTtJ-dpQ-wYbh_GOlmgRD?usp=drive_link,Drawn from HWSC filing for disaster mitigation but  Kapalua Mauka separate because seems like a future plan and cover two whole big parcels. Area outlined in blue also excluded because it probably reflects even more tentative plans,https://uhm.maps.arcgis.com/sharing/rest/content/items/18db1e87558b4ccfa6750892f567a923/data, ,9075.034170929999163,2946501.426250000018626, ,Private,631.438181249999957
- REMOVE Kapalua Mauka,125,https://drive.google.com/drive/folders/1cd_dByAdE2IVTtJ-dpQ-wYbh_GOlmgRD?usp=drive_link,"Mauka portion shown on HWSC disaster mitigation filing with PUC. Appears to be a planned expansion and the polygon consists of whole parcels, IE not an actual extent of sewer infrastructure",https://uhm.maps.arcgis.com/sharing/rest/content/items/18db1e87558b4ccfa6750892f567a923/data, ,10438.369358399999328,4324561.123010000213981, ,Private,926.929779867999969
Schofield WWTP,141, ,Polygons for Schofield and Helemano circular area from Aqua Engineers PE, , ,31165.771185599998716,20258525.053700000047684, ,Private,4592.872176609999769
Hawaii American Water Company Hawaii Kai Operations,202,https://drive.google.com/drive/folders/13xX0sURtPK3FHoiCc7riYjrFn5Yq62r4?usp=drive_link,HAWC service area map extends to apex ridge. Undeveloped land unlikely to have mains have been removed. State and county parks included as they appear to have sewer service.,https://uhm.maps.arcgis.com/sharing/rest/content/items/b68d1dcdb4714435845ecf7afcb2b74b/data,Confirmed by HAWC reps,50656.452850499998021,16979027.808400001376867, ,Private,3624.451408339999944
 ,213, , , , ,13085.091457799999262,2947333.034190000034869, ,Public,626.137229571000034
Turtle Bay,237,https://drive.google.com/drive/folders/1f1I-Q68aRYArwWQRpjXUjtHJcMUbBM2X?usp=drive_link,Turtle Bay represents service area as entire golf course area and Kawela Bay Park. But mains and force mains cover narrow area covering western buildings and development in center of golf course. Effluent lines for injection wells and pond extend east,https://uhm.maps.arcgis.com/sharing/rest/content/items/455916e8841141e8a90535f57c48aece/data,Confirmed by Aqua Engineers PE,5779.675671650000368,1044437.882529999944381, ,Private,221.713950331999996
 ,302, , , , ,109232.600747000004048,12289527.456399999558926, ,Public,3313.953465250000136
 ,304, , , , ,200.289878651999999,979.351713002999986, ,Public,9.649614089860000
 ,305, , , , ,11900.869949199999610,866655.103596000000834, ,Public,231.604387328999991
 ,306, , , , ,16230.384905099999742,1124902.735110000008717, ,Public,253.829951947000012
 ,307, , , , ,18439.934769200001028,3664221.838250000029802, , ,775.600677430000019
 ,308, , , , ,27954.575540999998339,10849159.755599999800324, ,Public,1948.619393429999946
 ,309, , , , ,62.936863641400002,92.101866365099994, ,Public,444.833272573999977
 ,309, , , , ,501.797947439999973,16717.605816399998730, , ,3.529885731940000
 ,309, , , , ,195.864891626000002,2151.598327650000101, , ,0.454350996127000
 ,310, , , , ,14661.854286300000240,1627182.153350000036880, , ,344.188479164000000
 ,310, , , , ,117.447932489999999,838.366597794999961, , ,0.177325353642000
 ,310, , , , ,119.416420504000001,871.687011233000021, , ,0.184372730364000
 ,310, , , , ,139.729921485999995,1056.058320919999915, , ,0.223400201285000
 ,310, , , , ,124.966670171000004,914.195185187999982, , ,0.193365432405000
