TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type,LINKQ
416005012,Waimea WWTP service Waimea 96796,4596 MAILE RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160050120000
416005053,Waimea WWTP service Waimea 96796,9920 APE PL,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160050530000
416005057,Waimea WWTP service Waimea 96796,9902 APE PL,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160050570000
416005095,Waimea WWTP service Waimea 96796,4604 MAILE RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160050950000
416005095,Waimea WWTP service Waimea 96796,4604 MAILE RD A,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160050950000
416006010,Waimea WWTP service Waimea 96796,9937 KAHAKAI RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160060100000
416006010,Waimea WWTP service Waimea 96796,9943 KAHAKAI RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160060100000
416006010,Waimea WWTP service Waimea 96796,9931 KAHAKAI RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160060100000
416006021,Waimea WWTP service Waimea 96796,4494 PANAKO RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160060210000
416007021,Waimea WWTP service Waimea 96796,4469 HALEPULE RD,WAIMEA,96796,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160070210000
416011017,Waimea WWTP service Waimea 96796,0 ALAWAI RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=160110170000
418008048,Eleele WWTP service 96705 & Hanapepe 96716,3600 HANAPEPE RD,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180080480000
418008068,Eleele WWTP service 96705 & Hanapepe 96716,3491 KAUMUALII HWY,HANAPEPE,96716,Commercial,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180080680000
418010030,Eleele WWTP service 96705 & Hanapepe 96716,3510 ELEU RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180100300000
418010037,Eleele WWTP service 96705 & Hanapepe 96716,4757 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180100370000
418012003,Eleele WWTP service 96705 & Hanapepe 96716,4894 ALII RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180120030000
418012031,Eleele WWTP service 96705 & Hanapepe 96716,3580 AHI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180120310000
418012031,Eleele WWTP service 96705 & Hanapepe 96716,3580 AHI RD A,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180120310000
418012033,Eleele WWTP service 96705 & Hanapepe 96716,4921 ALII RD B,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180120330000
418012038,Eleele WWTP service 96705 & Hanapepe 96716,3559 AHI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180120380000
418013034,Eleele WWTP service 96705 & Hanapepe 96716,3520 AHI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180130340000
418013044,Eleele WWTP service 96705 & Hanapepe 96716,4883 MOI RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180130440000
418014020,Eleele WWTP service 96705 & Hanapepe 96716,4954 KALELE PL,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180140200000
418014032,Eleele WWTP service 96705 & Hanapepe 96716,3556 KUPA'A ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180140320000
418014054,Eleele WWTP service 96705 & Hanapepe 96716,3520 KONALE ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180140540000
418014094,Eleele WWTP service 96705 & Hanapepe 96716,4940 ALII RD,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180140940000
418015005,Eleele WWTP service 96705 & Hanapepe 96716,3535 KONALE ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150050000
418015016,Eleele WWTP service 96705 & Hanapepe 96716,3546 'UWAO ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150160000
412008004,Waimea WWTP service Waimea 96796,9689 HAINA RD,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=120080040000
412014059,Waimea WWTP service Waimea 96796,9450 KEAHI PL,WAIMEA,96796,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=120140590000
418015023,Eleele WWTP service 96705 & Hanapepe 96716,3559 'UWAO ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150230000
418015027,Eleele WWTP service 96705 & Hanapepe 96716,3529 'UWAO ST,HANAPEPE,96716,Residential,https://qpublic.schneidercorp.com/Application.aspx?AppID=986&LayerID=20101&PageTypeID=4&PageID=8744&Q=266304821&KeyValue=180150270000
