TMK,Service_Area,Service_Address,Service_City,Service_Zip,Usage_Type
418016055,Eleele WWTP service 96705 & Hanapepe 96716,5097 IKAIKA PL,HANAPEPE,96716,Residential
418017010,Eleele WWTP service 96705 & Hanapepe 96716,5135 MOI RD,HANAPEPE,96716,Residential
418017020,Eleele WWTP service 96705 & Hanapepe 96716,5089 MOI RD,HANAPEPE,96716,Residential
418018003,Eleele WWTP service 96705 & Hanapepe 96716,5067 MOI RD,HANAPEPE,96716,Residential
418018013,Eleele WWTP service 96705 & Hanapepe 96716,5019 MOI RD,HANAPEPE,96716,Residential
418018014,Eleele WWTP service 96705 & Hanapepe 96716,5015 MOI RD,HANAPEPE,96716,Residential
419005020,Eleele WWTP service 96705 & Hanapepe 96716,3834 KOULA RD B,HANAPEPE,96716,Residential
419006005,Eleele WWTP service 96705 & Hanapepe 96716,4486 IONA RD,HANAPEPE,96716,Residential
419006036,Eleele WWTP service 96705 & Hanapepe 96716,4479 PEPE RD,HANAPEPE,96716,Residential
419007033,Eleele WWTP service 96705 & Hanapepe 96716,4449 IONA RD D,HANAPEPE,96716,Residential
419007048,Eleele WWTP service 96705 & Hanapepe 96716,4431 IONA RD A,ELEELE,96705,Residential
419008010,Eleele WWTP service 96705 & Hanapepe 96716,4404 PUOLO RD A,HANAPEPE,96716,Residential
419009001,Eleele WWTP service 96705 & Hanapepe 96716,4451 PUOLO RD,HANAPEPE,96716,Commercial
419009001,Eleele WWTP service 96705 & Hanapepe 96716,4431 PUOLO RD,HANAPEPE,96716,Commercial
419010037,Eleele WWTP service 96705 & Hanapepe 96716,3630 HANAPEPE RD,HANAPEPE,96716,Commercial
419011004,Eleele WWTP service 96705 & Hanapepe 96716,3591 HANAPEPE RD,HANAPEPE,96716,Commercial
419011005,Eleele WWTP service 96705 & Hanapepe 96716,3599 HANAPEPE RD,HANAPEPE,96716,Residential
419011011,Eleele WWTP service 96705 & Hanapepe 96716,4556 AWAWA RD,HANAPEPE,96716,Commercial
421001027,Eleele WWTP service 96705 & Hanapepe 96716,0,ELEELE,96705,Inactive
421001027,Eleele WWTP service 96705 & Hanapepe 96716,0,ELEELE,96705,Inactive
