OBJECTID,CLASS,FEATURE_ID,PROBLEM
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,-1,could not find spatial index
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,2673,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,4182,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,5278,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,5424,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6235,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6443,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6755,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6774,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6783,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,6797,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,7079,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,8714,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,10340,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,10739,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,11618,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,11737,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,12584,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,13812,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,14160,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,16036,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,16239,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,17796,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,18079,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,19608,null geometry
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,19640,unclosed rings
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,20463,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,21484,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,21894,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,22626,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,24574,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,25012,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,25200,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,25336,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,27319,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,28312,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,28608,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,28641,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,28721,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,31680,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,31761,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,32132,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,32660,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,32825,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,32837,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,33174,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,34777,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,36953,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,38029,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,38051,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,38226,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,39510,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,40745,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,41070,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,41731,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,41735,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,44839,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,45031,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,46403,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,46420,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,46926,self intersections
-1,..\Data/Parcels/maucotmkshp\maucotmk.shp,48786,self intersections
